,HHID,HH_Size,URBAN,District,State_code,Combined_multiplier
152,715001101,3,0,06,17,162.23
153,715001102,1,0,06,17,162.23
154,715001201,3,0,06,17,2072.97
155,715001202,1,0,06,17,2072.97
156,715001203,1,0,06,17,2072.97
157,715001204,1,0,06,17,2072.97
158,715001301,5,0,06,17,378.54
159,715001302,5,0,06,17,378.54
160,715081101,6,0,06,17,105.72
161,715081102,6,0,06,17,105.72
162,715081201,10,0,06,17,407.02
163,715081202,6,0,06,17,407.02
164,715081203,12,0,06,17,407.02
165,715081204,6,0,06,17,407.02
166,715081301,9,0,06,17,1057.2
167,715081302,9,0,06,17,1057.2
168,715891101,5,0,06,17,116.9
169,715891201,5,0,06,17,207.82
170,715891202,4,0,06,17,207.82
171,715891301,4,0,06,17,818.29
172,715892101,4,0,06,17,207.82
173,715892201,5,0,06,17,376.67
174,715892202,4,0,06,17,376.67
175,715892301,4,0,06,17,1558.64
176,715871101,6,0,06,17,9.97
177,715871102,5,0,06,17,9.97
178,715871201,3,0,06,17,80.72
179,715871202,5,0,06,17,80.72
180,715872101,4,0,06,17,249.14
181,715872102,5,0,06,17,249.14
182,715872201,7,0,06,17,1494.85
183,715872202,7,0,06,17,1494.85
184,715841101,4,0,07,17,581.13
185,715841102,6,0,07,17,581.13
186,715841201,3,0,07,17,261.51
187,715841202,7,0,07,17,261.51
188,715841203,4,0,07,17,261.51
189,715841204,6,0,07,17,261.51
190,715841301,4,0,07,17,2033.96
191,715841302,6,0,07,17,2033.96
192,715811101,5,0,07,17,85.62
193,715811102,4,0,07,17,85.62
194,715811201,5,0,07,17,607.91
195,715811202,5,0,07,17,607.91
196,715811203,3,0,07,17,607.91
197,715811204,2,0,07,17,607.91
198,715811301,5,0,07,17,462.36
199,715811302,4,0,07,17,462.36
200,715821101,9,0,07,17,34.75
201,715821102,8,0,07,17,34.75
202,715821201,12,0,07,17,312.71
203,715821202,9,0,07,17,312.71
204,715822101,7,0,07,17,198.55
205,715822102,4,0,07,17,198.55
206,715822201,5,0,07,17,1111.86
207,715822202,7,0,07,17,1111.86
208,715861101,5,0,07,17,71.33
209,715861201,5,0,07,17,203.28
210,715861202,4,0,07,17,203.28
211,715861301,4,0,07,17,299.58
212,715862101,6,0,07,17,285.31
213,715862201,5,0,07,17,485.03
214,715862202,5,0,07,17,485.03
215,715862301,6,0,07,17,1112.71
216,715851101,7,0,01,17,434.56
217,715851102,1,0,01,17,434.56
218,715851301,4,0,01,17,506.99
219,715851302,5,0,01,17,506.99
220,715851303,7,0,01,17,506.99
221,715851304,5,0,01,17,506.99
222,715851305,8,0,01,17,506.99
223,715851306,6,0,01,17,506.99
224,715831101,4,0,01,17,107.57
225,715831102,6,0,01,17,107.57
226,715831201,4,0,01,17,89.64
227,715831202,6,0,01,17,89.64
228,715831203,05,0,01,17,89.64
229,715831204,8,0,01,17,89.64
230,715831301,3,0,01,17,1864.55
231,715831302,3,0,01,17,1864.55
232,715801101,10,0,01,17,225.94
233,715801102,8,0,01,17,225.94
234,715801201,8,0,01,17,305.02
235,715801202,4,0,01,17,305.02
236,715801203,6,0,01,17,305.02
237,715801204,5,0,01,17,305.02
238,715801301,6,0,01,17,1762.34
239,715801302,5,0,01,17,1762.34
240,715881101,6,0,01,17,201.97
241,715881102,6,0,01,17,201.97
242,715881201,3,0,01,17,454.42
243,715881202,6,0,01,17,454.42
244,715881203,5,0,01,17,454.42
245,715881204,6,0,01,17,454.42
246,715881301,3,0,01,17,1110.81
247,715881302,5,0,01,17,1110.81
248,713991101,2,0,01,17,132.86
249,713991102,6,0,01,17,132.86
250,713991201,8,0,01,17,192.65
251,713991202,5,0,01,17,192.65
252,713991203,5,0,01,17,192.65
253,713991204,6,0,01,17,192.65
254,713991301,7,0,01,17,1302.02
255,713991302,6,0,01,17,1302.02
256,713971101,6,0,01,17,105.97
257,713971201,6,0,01,17,211.94
258,713971202,6,0,01,17,211.94
259,713971301,5,0,01,17,614.63
260,713972101,6,0,01,17,317.91
261,713972201,4,0,01,17,540.45
262,713972202,7,0,01,17,540.45
263,713972301,4,0,01,17,1716.73
264,713941101,6,0,02,17,261.79
265,713941102,6,0,02,17,261.79
266,713941201,3,0,02,17,261.79
267,713941202,3,0,02,17,261.79
268,713941203,5,0,02,17,261.79
269,713941204,4,0,02,17,261.79
270,713941301,4,0,02,17,1308.95
271,713941302,4,0,02,17,1308.95
272,713911101,3,0,02,17,204.51
273,713911102,2,0,02,17,204.51
274,713911201,6,0,02,17,193.15
275,713911202,4,0,02,17,193.15
276,713911203,4,0,02,17,193.15
277,713911204,5,0,02,17,193.15
278,713911301,7,0,02,17,1136.16
279,713911302,9,0,02,17,1136.16
280,713921101,3,0,02,17,92.64
281,713921102,7,0,02,17,92.64
282,713921201,4,0,02,17,194.53
283,713921202,5,0,02,17,194.53
284,713921203,5,0,02,17,194.53
285,713921204,5,0,02,17,194.53
286,713921301,5,0,02,17,666.97
287,713921302,05,0,02,17,666.97
288,713961101,8,0,03,17,63.87
289,713961102,5,0,03,17,63.87
290,713961201,5,0,03,17,63.87
291,713961202,6,0,03,17,63.87
292,713961203,6,0,03,17,63.87
293,713961204,8,0,03,17,63.87
294,713961301,4,0,03,17,958.06
295,713961302,4,0,03,17,958.06
296,713951101,7,0,03,17,94.12
297,713951102,4,0,03,17,94.12
298,713951201,4,0,03,17,150.6
299,713951202,5,0,03,17,150.6
300,713951203,3,0,03,17,150.6
301,713951204,5,0,03,17,150.6
302,713951301,4,0,03,17,809.45
303,713951302,4,0,03,17,809.45
304,713931101,5,0,04,17,144.47
305,713931102,6,0,04,17,144.47
306,713931201,7,0,04,17,144.47
307,713931202,5,0,04,17,144.47
308,713931301,4,0,04,17,794.59
309,713931302,5,0,04,17,794.59
310,713931303,6,0,04,17,794.59
311,713931304,4,0,04,17,794.59
312,713901101,6,0,04,17,182.46
313,713901102,6,0,04,17,182.46
314,713901201,5,0,04,17,260.66
315,713901202,6,0,04,17,260.66
316,713901203,6,0,04,17,260.66
317,713901204,8,0,04,17,260.66
318,713901301,7,0,04,17,1251.16
319,713901302,5,0,04,17,1251.16
320,713981101,4,0,04,17,139.52
321,713981102,5,0,04,17,139.52
322,713981201,4,0,04,17,209.28
323,713981202,4,0,04,17,209.28
324,713981203,5,0,04,17,209.28
325,713981204,6,0,04,17,209.28
326,713981301,5,0,04,17,1046.38
327,713981302,4,0,04,17,1046.38
328,713791101,11,0,04,17,72.36
329,713791102,11,0,04,17,72.36
330,713791201,10,0,04,17,31.66
331,713791202,4,0,04,17,31.66
332,713791203,7,0,04,17,31.66
333,713791204,6,0,04,17,31.66
334,713791301,5,0,04,17,1311.45
335,713791302,5,0,04,17,1311.45
336,713771101,5,0,05,17,126.4
337,713771102,5,0,05,17,126.4
338,713771201,6,0,05,17,315.99
339,713771202,7,0,05,17,315.99
340,713771203,4,0,05,17,315.99
341,713771204,6,0,05,17,315.99
342,713771301,5,0,05,17,969.04
343,713771302,4,0,05,17,969.04
344,713741101,3,0,05,17,144.67
345,713741102,4,0,05,17,144.67
346,713741201,3,0,05,17,599.34
347,713741202,2,0,05,17,599.34
348,713741203,3,0,05,17,599.34
349,713741204,4,0,05,17,599.34
350,713741301,4,0,05,17,847.35
351,713741302,4,0,05,17,847.35
352,713711101,6,0,05,17,84.02
353,713711102,5,0,05,17,84.02
354,713711201,5,0,05,17,214.26
355,713711202,6,0,05,17,214.26
356,713711203,5,0,05,17,214.26
357,713711204,7,0,05,17,214.26
358,713711301,7,0,05,17,1184.71
359,713711302,5,0,05,17,1184.71
360,713721101,5,0,06,17,590.56
361,713721102,5,0,06,17,590.56
362,713721201,3,0,06,17,229.66
